id,smile
1,CC1=C(C)C=C(C=C1)NC(=O)C2=C(F)C=CC(F)=C2
2,OB(O)C1=CC2C(=CC=C(F)C=2)N=C1
3,OCC(O)CN(c1sc(S)nn1)c2c(Cl)nc(Cl)nc2
4,OC(=O)COC1=C(Br)C=C(C=C1Br)/C=C2C(=O)NC(=O)N\2
5,CN[C@@H]1CN(CCCC1)C(=O)OCC2=CC=CC=C2
6,Cl.Cl.N1CCN(CC1)CC2SC3C(=CC=CC=3)N=2
7,FC1=CC=C(C=C1)CS(=O)(=O)N2C(C)CN(CC2)C(=O)OC(C)(C)C
8,COCC(C)N1C(COC2C(F)=CC=CC=2)=NN=C1S
9,OCC1CC2(CC(=O)C2)C1
10,CC(C)CN(S(=O)(C)=O)N1C(=S)SCC1=O
11,FC1=CC=C(C=C1)C(=O)[C@H]2[C@]3(C4=C(C=CC=C4)NC3=O)[C@]5([H])N(C6=C(C=C(C)C=C6)C=C5)[C@@H]2C(=O)C7=CC=CC=C7
12,Cc1ccc(cc1)S(=O)(=O)c2c(=O)nc(=S)nc2
13,N#CC1C(SC)=NC(=CC=1)C2CC2
14,NC1=CN(N=C1)CCN2C(=O)C3=C(C=CC=C3)C2=O
15,O=C(CCCCCNC(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2)NCCCC[C@@H](C(=O)NCCSS(=O)(C)=O)NC(=O)C3=C(F)C(F)=C(N=[N+]=[N-])C(F)=C3F
16,CC1C=C2C(=CC=1C)N=C(C3OC=CC=3)N2
17,OCCCN(CCNC(C)=O)S(=O)(C)=O
18,CCCNC(C1C=NC=CC=1)C2C(F)=CC(F)=CC=2
19,CC1N=C(ON=1)C2C=NC(=CC=2)N3CC(CCC3)C(=O)N4CCSCC4
20,ClC1C=C(C=CC=1)C(=O)NC2=NC(=NN2)C(F)(F)F
21,CC(=O)OC[C@@H]1[C@](CC(=O)[O-])(OC(C)=O)[C@H](OC(C)=O)[C@H](O)C(F)O1
22,Br.NC1SC(=C(C)N=1)CC2C(F)=C(Cl)C=CC=2
23,COC1C=C(OC)C(=CC=1)C(=O)C2=NC=C(C)C=C2
24,BrCC(=O)NCCN1CCCCCC1
25,OC(=O)C(O)=O.C1CN(CC1)CC#CCON2C(=O)C3C(=CC=CC=3)C2=O
26,COC(=O)C(C)=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
27,ClCCCc1ccc(OCc2ccccc2)cc1
28,CCOC(=O)C(/C#N)=N/OC(=[N+](C)C)N1CCOCC1.F[P-](F)(F)(F)(F)F
29,CCOC1C(=CC=CC=1)C(=O)N2CCOCC2
30,BrC1C=C2C(=NC=1)N=C(Cl)C(N)=C2
31,O=[N+]([O-])C1=C(N)C=C(C)C(N)=C1
32,CCOC(=O)C1C=C(C(F)=CC=1)S(=O)(=O)F
33,O=C1c2c(cccc2)CCC1Cc3sccn3
34,N#C/C=C/C1=CC(C)=C(OC2N=C(N=CC=2)NC3=CC=C(C=C3)CN4CCS(=O)(=O)CC4)C(C)=C1
35,[H]Cl.COCC(N)=N
36,NC(=[NH2+])NCCC[C@@H](NC(C)=O)C(=O)[O-]
37,CCCCCCCCCCCC(=O)NCCOC(=O)\C=C/C(O)=O
38,CCCNC(=O)C1=CC(OC)=C(C=C1)B2OC(C)(C)C(C)(C)O2
39,C(CCCCN1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)C1)COCC(F)(F)F
40,CC(C)(C)OC(=O)N(C)CCOC1C(F)=CC(Br)=CC=1
41,CC(=O)C(C)C1C=C(Cl)C=CC=1
42,NCCCC(=O)N[C@@H](C)C(O)=O
43,CC(=C)[N+](=O)[O-]
44,NCCCSC1=C2C(C=CC(OC)=C2)=NC3C1=CC(Cl)=CC=3
45,FC(F)(F)SCC(=O)NC1CCCC1
46,CC1C=C(N)C=NC=1
47,COC(=O)CCC1C(=NNC=1)C2=CSC=C2
48,CCOC(=O)[C@@H]1CN(C)CCC1
49,Cl.C1=CC=C(C=C1)CCNCC2=CC=CC=C2
50,O=CC1OC(=CC=1)C2=C([N+](=O)[O-])C=C(Cl)C=C2
51,Clc1ccc(cc1)N(CC)c2cc(Cl)cc(Cl)c2
52,[H]Cl.CC1=C(SC=C1)C(=O)N[C@@H]2CNCC2
53,CCCCCCCCN(CCc1ccccc1)c2c(F)cc(F)cc2
54,CC(=O)NCCN(c1cc([N+](=O)[O-])ccc1)c2c(F)cccc2F
55,OCCN(C(C)(C)C)c1sc(=S)nn1
56,BrCCC(C)N(C(=O)c1ccc([N+](=O)[O-])cc1)c2nc(cs2)c3ccccc3
57,CCOC(=O)C1=C(C)C(C)=C(C)N1
58,COC(=O)C1C=NC(=CC=1)OC2=C(Cl)C=C(C=C2)C(F)(F)F
59,CCCOC1=C(C=CC=C1)C(=O)C(N)(C)C2CC2
60,CC(=O)C1C=C(C=CC=1)NC(=O)C2C(Cl)=CC(Cl)=CC=2
61,FC(F)C1=C(C=CS1)C(N)=S
62,O/N=C/C1N(C=CC=1)C2=CC=CC=C2
63,Clc1cnc(cc1)N(c2scnc2)S(=O)(=O)CC
64,OC(=O)CC[C@](C(O)=O)([H])NC(=O)C1=CC=C(C=C1)N(C)CC2=NC3C(N=C2)=NC(=N)NC=3N
65,C1=CC=C(C=C1)C(C2=CC=CC=C2)N3CC4(C(O)CC4)C3
66,NC(=O)CN(C(=O)C(C)C)c1ccc(cc1)S(=O)(N)=O
67,COC(=O)N(CCNc1c2c(cccc2)ccc1)C(=O)CCl
68,CCOC(=O)C1=NN(N=N1)C(C)(C)C
69,CCC1CC(C(O)=O)(C#N)C1
70,CCOC1=CC=C(C=C1)C(=O)C2=C(F)C=CC(Cl)=C2
71,CCCCCCCC(=O)C1=CC=C(CCOC(C)=O)C=C1
72,COC(=O)CN(Cc1ccc([N+](=O)[O-])cc1)c2nnc(cc2)c3ccc(OC)cc3
73,OC(=O)CCN(C(=O)OC)c1sccn1
74,CCC(C)CN1CCN(CC1)c2ccc(F)cc2
75,CC1=NC2(CCN(CC2)C(=O)OC(C)(C)C)C(=O)N1
76,CC(C)(C)OOC(C)(C)C1=CC(=CC(=C1)C(C)(C)OOC(C)(C)C)C(C)(C)OOC(C)(C)C
77,OCCN(C(C)C)CC1=C(Cl)C=CC=C1Cl
78,CCCCCCCCCCCCCCCCN(CCC(C)C)CCCN1CCOCC1
79,OC1CCN(CC1)S(=O)(=O)C2=C(C)C=C(Br)C=C2C
80,Cl.COC1=CC=C(C=C1)[1C@H]2[1C@H](N)C2
81,CCS(=O)(=O)N(c1ccccc1)S(=O)(=O)C=C
82,ClCCCCN(C(=O)c1ccccc1)c2ccc(OC)cc2
83,CC(C)CC(N)c1n(C)c2c(cccc2)n1
84,BrCCN(c1ccccc1)c2cc([N+](=O)[O-])ccc2
85,CC1=CC=C(C=C1)C2=NC(=S)NN2
86,Brc1ccc(cc1)N(CC(=O)c2ccccc2)c3ccccc3
87,CC1=CC(=CC(C)=C1)NC(=O)C2=CC=C(C=C2)NC3SC4C(N=3)CS(=O)(=O)C4
88,Cl.NCC1(Br)C(F)(F)C1
89,CN(C)Cc1oc(CSCCN(c2scnc2)c3c(Cl)nc(Cl)nc3)cc1
90,CCOC(=O)c1c(cccc1)N(CC)CCO
91,CC1=CC(=C(C)N1)C(=O)NC2CCCC2
92,O.O.[Na].OCCOCN1C2=C(N=C1)C(=O)N([H])C(N)=N2
93,C1=CC=C(C=C1)CNC2C3C(=CC=CC=3C(O)=O)NC(=O)N=2
94,Cl.CCN(CC)CCc1c2c(ccc(Cl)c2)nc1
95,Cl.NC1C=C(ON=1)C2SC=CC=2
96,CCC(C)NC(C1=CC=CC=C1)C(=O)C2C3=C(NC=2)C(CC)=CC=C3
97,O=CC1C(Cl)=CC(F)=NC=1
98,BrC1C=C(C(Cl)=CC=1)C(=O)C2=CC=C(O[C@@H]3COCC3)C=C2
99,OC1=CC=C(C=C1)/C=C2/C(=O)N(C3=C(OC)C=CC=C3)\C(=N\C4=C(OC)C=CC=C4)S2
100,CCCCOC(=O)CN(CCCC)Cc1ccccc1
101,Cl.CC1=CC(=CC=C1)N2C(=O)CCC2
102,CC(C)CCOC(=O)CN(c1c(C)cccc1)c2ccc(cc2)S(=O)(=O)Nc3nc(C)ccn3
103,c1ncc(cc1)c2sc(C(=O)Nc3cc(ccc3)C(F)(F)F)c(C)n2
104,BrCC1=C(C=CC=C1Br)C(O)=O
105,NCc1ccc(cc1)S(=O)(=O)N2CCCCC2
106,CCOC(=O)C1C2C(=NC=C(Br)N=2)NC=1
107,COCC1CCN(CC1)S(=O)(N)=O
108,O=C(OCC1=CC=CC=C1)NC2COCCC2
109,OCCCCN(c1ccc(cc1)c2ocnn2)C(C(F)(F)F)(F)C(F)(F)F
110,BrC1C2=C(C=CC=1)C(=CN2C)B3OC(C)(C)C(C)(C)O3
111,COC1C=C2C(=CC=1)C=C(C=C2)C(=O)C(C)(C)CCl
112,CC(=O)OCC1C(C(=O)OCC2=CC=C(OC)C=C2)=CC(=CC=1)CO[Si](C)(C)C(C)(C)C
113,ClCC(C)(C)C(=O)N(C(C)C)CC(=O)N(CCC1C2=C(C=CC=C2)NC=1)CC3=CC=C(N(C)C)C=C3
114,BrC1=CC(=CC=C1)S(=O)(=O)C(F)F
115,c1ccc(cc1)Nc2ccc(cc2)N(Cc3ccccc3)S(=O)(=O)c4ccccc4
116,OC1C=C2C(=CC=1)[C@@H](C3=CC=C(OCCN4CCCCC4)C=C3)N(CC2)C5=CC=CC=C5
117,[H]Cl.OCCN1N=C(C=C1)NCC2N(C)C=CC=2
118,COC(=O)CNC(=O)C1C=C(Cl)C=CC=1
119,COC1=CC=C(C=C1)CNC2=C(NC(=O)NCCNC(=O)OC(C)(C)C)C=NN2C
120,O\N=C\C1C=C2C(=NC=1)C=C(O2)[Si](C)(C)C
121,NCCN1C[C@H](CC1)N(C)C(C)=O
122,COC(=O)CC(C)N1C(=O)C2C(=CC=CC=2)C1=O
123,CCCCN(C(=O)CCC)c1ccc(Cl)cc1
124,O=C1C2=C(NC=N1)N(C=N2)[C@@H]3O[C@H](COP(=O)(O)OP(O)(O)=O)[C@@H](O)C3
125,CCCC1=C(C=O)C(N)=NC=N1
126,NNC(=O)C1=CC=C(C=C1)COC2C(Cl)=CC(Br)=CC=2
127,FC(F)(F)OC1=CC=C(C=C1)S(=O)(=O)NC2C(C)=C(C=CC=2)C(F)(F)F
128,CCOC(=O)C1C(=O)C2C(=CC=NC=2)C1
129,CCC1=C(C(O)=O)C(CC(C)C)=NN1
130,O[C@@H]1C[C@H](COC(C)(C)[C@H]1O)[C@H]2[C@@]3(C)[C@@](CC2)(C)C4[C@@](CC3)([H])[C@]5(C)[C@](CC=4)([H])C(C)(C)[C@H](O)CC5
131,C[C@H](O)[C@H](N)C1=CC(=CC=C1Cl)C(F)(F)F
132,ClC1=CC=C(C=C1)SC2C([N+](=O)[O-])=CC(C(O)=O)=CC=2
133,CCOC(=O)C1=CN2C(C=C1)=NC(C(=O)OCC)=C2
134,OC(=O)CCCN1C2C(=CC=CC=2)OCC1=O
135,O.O.O.C1/C=C\C=C/C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@@]2(O)OC(C[C@H](/C=C\C=C/C=C\C=1)O[C@H]3[C@@H](O)[C@@H](N)[C@H](O)[C@@H](C)O3)([H])[C@H](C(O)=O)[C@@H](O)C2
136,CCN1C(C2=CC=C(O)C=C2)=C(C)C3=C1C=CC(O)=C3
137,BrC1C(=CC=CC=1)C2SC3N(C=NN=3)N=2
138,COC(=O)C(C)N(c1ccc(cc1)Oc2ccccc2)S(=O)(=O)CC
139,OC(=O)CC(C)N(c1ccccc1)c2ncc(Cl)cc2
140,CC(C)(C)OC(=O)N1CC2(CN(CCC2)CC3=CC=CC=C3)C1
141,NCCC1(O)C2C(CCC1)C2
142,Cl.COc1cc(cnc1)C(O)=O
143,NCC1N(C(=O)OC(C)(C)C)C(CCC1)C(C)C
144,CC(=C)CC1=CC=C(C=C1)OC2=CC=CC=C2
145,CC(=O)N(CCc1ccccc1)c2c(C)cccc2
146,C=CCC1C(O)=C(OCC)C=C(C=1)\C=C2C(=O)N(C3=CC=CC=C3)C(=O)S\2
147,NCC1C(Cl)=NC2C(=CC=CC=2Br)C=1
148,NC1=C2N(N=C1)C(=CC=N2)C3CC3
149,Clc1ccc(cc1)CN(CCOc2cc(ccc2)C(F)(F)F)CCNc3c(Cl)cc(cn3)C(F)(F)F
150,Cl.Cl.CC1=CC(=NC=C1)OCC2CCNCC2
151,C1=CC=C(C=C1)C2(C)NC(=O)NC2
152,O=[N+]([O-])C1C=C(/C=N/NC2=C(Cl)C=C(Cl)C=C2Cl)C(O)=CC=1
153,[N-]=[N+]=NCCOCC(O)=O
154,[H]Cl.COC1C=C2C(=CC=1)OC3(CCNCC3)NC2=O
155,OC1=CC=C(C=C1)C(=O)NC2=C(C)C(Cl)=CC=C2
156,O=C1NC(=O)C(C(=O)N1)=CC2=CC3CC4(C(=O)N(C)C(=O)N(C)C4=O)C5N(CCC5)C=3C=C2
157,CCOC1C(C)=CC(Br)=C(CO)C=1
158,CCC(CC)(N)CC1=C2C(C=CC=C2)=CC=C1
159,ClCC1C2=C(C=C(O)C3C2=CC=CC=3)N(C1)C(=O)OC(C)(C)C
160,CS(=O)(=O)OCCCCOS(=O)(C)=O.CN(C)c1ccc(cc1)C(=O)Nc2sc(cn2)Sc3cc(c(OC)cc3C)C(=O)N4CCN(C(C)=O)CC4
161,CCOC(OCC)C1N=C2N(C=CC=C2C=O)C=1
162,CCCCCC(CC(=O)[O-])N1C2C(=CC=C(Cl)C=2)C(O)=C1
163,O=[N+]([O-])C1=NN(C)C(C)=C1
164,BrC1c2c(cccc2)C(Br)C1
165,CC1CN(CCC1)CC(=O)NC2SC(C)=NN=2
166,CCOC(=O)C1CN(CCC1)C(=O)C2N=C(OC=2)CN(CCC3C4=C(C=CC=C4)NC=3)CC5=C(C=CC=C5)C(F)(F)F
167,CCCCCCCCCCCCCCCCN(C(=O)CCCCCCCC)c1ccc(C(=O)OCCCC)cc1
168,CCOC(=O)CC1=CC=C(Cl)C=C1
169,N#CCC1C(C)=NN(C=1)C2CSCC2
170,CCCc1ccc(cc1)N(c2cc(SC)ccc2)c3c(cccc3)[N+](=O)[O-]
171,CCOC(=O)CN(CC)c1c(Cl)nc(Cl)nc1
172,OC(=O)CC1=C(C)C2=C(NN=C2C)OC1=O
173,C1CNC(CC1)CN2C(N)=CC(=N2)C(F)(F)F
174,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=C(O)C(=C4C(CCCC4)=C3)C5=C6C(CCCC6)=CC(C7=CC=C(C=C7)C8=CC=CC=C8)=C5O
175,[Pt+4].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-]
176,O=CC1(O)C(C)(C)CCC1
177,CC1=CC=C(C=C1)C(=O)N(C)CCC2N=C(ON=2)C3=CC=C(C(O)=O)C=C3
178,CCCCOC(=O)c1ccc(cc1)N(CCc2ccccc2)CC(=O)OCCC(C)C
179,Cl.CNC1CN(CCC1)C(=O)C2SC=CC=2
180,CCOC(=O)C1C(=CC=CC=1)NC(=O)CN2C(=CC=C2)C3=NC(=NO3)C4=CC=C(F)C=C4
181,CCOC(=O)CC(=O)N(Cc1cc(F)ccc1)c2ccc(OCC)cc2
182,COC(=O)C1C(Cl)=NC(C)=CC=1
183,OCC(O)CN(C(=O)C(C)C)c1c(O)cccc1
184,Cl.N[C@@H]1CN(CC1)C(=O)C2CCC2
185,OCC1=CC=C(C=C1)CNC2CC2
186,CCCCCCN(CCN1CCOCC1)C(C)CCBr
187,COC(OC)CN(S(=O)(=O)C=C)c1c(O)cc([N+](=O)[O-])cc1
188,COC(=O)C1C(=CC=CC=1)C(=O)C(C)(C)CC
189,CN1C2=C(C=CC=C2)\C(=N\NC3N=CC=CC=3)C1=O
190,NCCc1cc(c(OC)c(OC)c1)c2c3c(cccc3)nc2C
191,FC1=CC(=CC=C1)CSC2C3N(C=CN=2)N=C(C=3)C4=C(C)C=CC(C)=C4
192,C[Si](Cl)(C)Cl.C1=CC=C(C=C1)C(C2=CC=CC=C2)(O)C(C3=CC=CC=C3)(O)C4=CC=CC=C4
193,CC1=NN(C(C)=N1)C(=O)C2SC=CC=2
194,Cl.C1CN2C(NC1)=NN=N2
195,CCOC(=O)C1NC2=C(C=CN=C2)N=1
196,CC#CCC1(C=O)CCCC1
197,C=CCN1C(=NN=C1SCC(=O)C2C3=C(C=CC=C3)N(C)C=2)C4=CC=NC=C4
198,C1=CC=C(C=C1)C2=NCCC2
199,CCCOC(=O)CN(C(C)CC(O)=O)c1sc(=S)nn1
200,CN(C)\C=C\C1=C(C(=O)OC)C=C2C(C=CN(CC3=CC=C(OC)C=C3)C2=O)=N1
201,FC1C=C(C=CC=1)C2(C=O)CC2
202,CSCN(CC)CC
203,SCC1NN2C(=NC(C)=CC2=O)N=1
204,CN1C=C(C=N1)C(=O)NC2=CC3=C(N=CC=C3)C=C2
205,CCOC(=O)C1=C(C=CC=C1)C(C2=CC=C(O)C=C2)C3=CC=C(O)C=C3
206,COCCN1C2C3C(CCN(C(=O)CC4=CC(F)=CC=C4)CC=3C=CC=2)=C1
207,CCOC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)C2C(O)=C3C(CC(C)OC3=O)=C(Cl)C=2
208,CC(Cl)C(=O)N1CC(C(F)(F)F)(CC1)c2nc(no2)C3CC3
209,CCN1CC2(NCC1)COCC2
210,COC(=O)[C@H]1NC(CC1)C2=CC=C(N)C=C2
211,CC1C=C2C(=CC=1Cl)C(O)CC3(CCN(CC(O)C4C5=C(C=CC=C5)NC=4C)CC3)O2
212,[Cl-].[Cu+]
213,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O.CCCCC\C=C/C\C=C/CCCCCCCC(O)=O.CCCCOCC1OC1.ClCC1OC1.OC1=CC=C(C=C1)C(C)(C)C2=CC=C(O)C=C2
214,CC(=O)CC(=O)NC1SC=CN=1
215,COC1=CC=C(C=C1)CC2C=C(N)NN=2
216,CCOC(=O)CCOC1=C(Cl)C=C(C=C1)C(F)(F)F
217,O=[N+]([O-])c1cc(O)c(cc1)N(Cc2cc(F)ccc2)c3c(cccc3)[N+](=O)[O-]
218,c1ccc(cc1)Cn2c(nnn2)CN3CCNCC3
219,Cl.NOCCCCOC1=CC=CC=C1
220,OB(O)C1C=C(C=CC=1)C2=NC=CN2
221,OC(=O)CSC1C(C)=NC2=C(C=CC=C2)N=1
222,COC1C=C(NC(=O)COC2C3=C(C=CC(OC)=C3)N=C(C(=O)OC)C=2)C=C(OC)C=1
223,OCC1=C2N(C=CN(CC3=CC=C(Cl)C=C3)C2=O)N=C1C4=CC=C(F)C=C4
224,O=C1N=C(C=NN1)N/N=C/C2=CC([N+](=O)[O-])=C(O)C(OC)=C2
225,[H]Cl.NC1=CC(=CC=C1)C(N)=N
226,COC1C(OC)=CC(=CC=1)C#CC2(O)CCCC2
227,NC(=O)CN(C(=O)c1c(Br)cccc1)c2c(OC)cccc2
228,COCC(=O)N(CCO)c1cnc(Cl)cc1
229,CC(N)Cc1cc(Cl)c(OC)c(F)c1
230,C1=CC=C(C=C1)COC2=CC(=CC=C2)C3=C(N)C=CN=C3
231,Cl.OC(=O)C1(N)COCCC1
232,OCCC#CC1=NC(=CN=C1)N2CCNCC2
233,CC(C)CCOC(=O)CN(CC(=O)OC)c1ncc(Cl)cc1
234,C=CCCN1C(=O)C=C(C(O)=O)C=C1
235,CC(C)C(=O)OC(C(C)C)C(C)(C)CO
236,C1=CC=C(C=C1)N(C)CC(N)C2CC2
237,Cl.COC(=O)[C@]1(F)[C@H](CNC(=O)OC(C)(C)C)CNC1
238,CC(C)(C)OC1C(=CC(OC2CC2)=CC=1)B3OC(C)(C)C(C)(C)O3
239,CN1C(=CC=N1)C2C=C(C=CC=2)CC3NCCCC3
240,OC1N=C2C(=NC1)NC(N)=NC2=O
241,Cc1nc(nc(C)c1)NS(=O)(=O)c2ccc(cc2)N(C(=O)c3c(Br)cccc3)c4c5c6c(cc4)N=C(C)c6ccc5
242,BrCCCCOc1c(C)cccc1C
243,CCCCCCOC(=O)CCC1N=CC(CCC(=O)OCCCCCC)=NC=1
244,NCCCCC(NC(=O)C(CO)NC(=O)C(C)NC(=O)C(CCSC)NC(=O)CN)C(=O)NC(C)C(=O)NCC(=O)NC(C)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CC(C)C)C(N)=O
245,COc1cc(ccc1)NC(=O)COc2c(cccc2)c3nc(no3)c4ccc(C)cc4
246,Cc1c(cccc1)\N=N\c2cc(C)c(cc2)N(CC(=O)c3ccccc3)c4ccc(cc4)c5nc(NCC6OCCC6)sc5
